04-30-2024 17:59:24 RAM 9229/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@1728,82%@1728,0%@1728,1%@1728,2%@1190,0%@1190,2%@1190,1%@1190,off,off,off,off] GR3D_FREQ 99% cpu@46.656C tboard@35.75C soc2@43.031C tdiode@40.625C soc0@43.093C gpu@43.312C tj@46.343C soc1@43.031C VDD_GPU_SOC 6780mW/6780mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 5846mW/5846mW VDDQ_VDD2_1V8AO 1512mW/1512mW
04-30-2024 17:59:25 RAM 9228/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1728,10%@1728,2%@1728,0%@1728,0%@729,0%@729,0%@729,3%@729,off,off,off,off] GR3D_FREQ 99% cpu@46.718C tboard@35.75C soc2@43.062C tdiode@40.75C soc0@42.937C gpu@44.218C tj@46.718C soc1@43C VDD_GPU_SOC 11572mW/9176mW VDD_CPU_CV 399mW/797mW VIN_SYS_5V0 7773mW/6809mW VDDQ_VDD2_1V8AO 2620mW/2066mW
04-30-2024 17:59:26 RAM 9228/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1728,11%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] GR3D_FREQ 86% cpu@47C tboard@35.75C soc2@43.375C tdiode@40.875C soc0@43.218C gpu@44.687C tj@46.75C soc1@43C VDD_GPU_SOC 12370mW/10240mW VDD_CPU_CV 399mW/664mW VIN_SYS_5V0 7988mW/7202mW VDDQ_VDD2_1V8AO 2721mW/2284mW
04-30-2024 17:59:27 RAM 9228/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@1728,12%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,2%@729,off,off,off,off] GR3D_FREQ 84% cpu@47.062C tboard@35.75C soc2@43.25C tdiode@40.875C soc0@43.187C gpu@44.75C tj@47.062C soc1@43.031C VDD_GPU_SOC 12370mW/10773mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 7975mW/7395mW VDDQ_VDD2_1V8AO 2721mW/2393mW
04-30-2024 17:59:28 RAM 9233/62841MB (lfb 2x4MB) SWAP 0/31421MB (cached 0MB) CPU [15%@729,14%@729,4%@729,2%@729,2%@729,7%@729,0%@729,4%@729,off,off,off,off] GR3D_FREQ 98% cpu@47C tboard@35.75C soc2@43.406C tdiode@41.125C soc0@43.25C gpu@44.125C tj@47C soc1@43.093C VDD_GPU_SOC 11173mW/10853mW VDD_CPU_CV 798mW/638mW VIN_SYS_5V0 7572mW/7430mW VDDQ_VDD2_1V8AO 2419mW/2398mW
04-30-2024 17:59:29 RAM 9231/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [7%@1728,12%@1728,8%@1728,8%@1728,5%@729,16%@729,3%@729,8%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.187C tboard@35.875C soc2@43.406C tdiode@41C soc0@43.156C gpu@44.906C tj@47.187C soc1@43.218C VDD_GPU_SOC 11572mW/10972mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 7773mW/7487mW VDDQ_VDD2_1V8AO 2620mW/2435mW
04-30-2024 17:59:30 RAM 9231/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,0%@1728,0%@1728,0%@1728,0%@729,10%@729,0%@729,4%@729,off,off,off,off] GR3D_FREQ 93% cpu@47.218C tboard@35.875C soc2@43.531C tdiode@41.125C soc0@43.25C gpu@44.718C tj@47.218C soc1@43.218C VDD_GPU_SOC 11971mW/11115mW VDD_CPU_CV 399mW/569mW VIN_SYS_5V0 7874mW/7543mW VDDQ_VDD2_1V8AO 2620mW/2461mW
04-30-2024 17:59:31 RAM 9231/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [3%@729,3%@729,0%@729,0%@729,1%@729,8%@729,0%@729,6%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.281C tboard@35.875C soc2@43.593C tdiode@41.125C soc0@43.343C gpu@44.906C tj@47.125C soc1@43.312C VDD_GPU_SOC 11966mW/11221mW VDD_CPU_CV 399mW/548mW VIN_SYS_5V0 7773mW/7571mW VDDQ_VDD2_1V8AO 2620mW/2481mW
04-30-2024 17:59:32 RAM 9231/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,0%@1728,1%@1728,0%@1728,0%@729,10%@729,4%@729,2%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.312C tboard@36C soc2@43.531C tdiode@41.125C soc0@43.25C gpu@44.718C tj@47.312C soc1@43.281C VDD_GPU_SOC 11572mW/11260mW VDD_CPU_CV 399mW/531mW VIN_SYS_5V0 7773mW/7594mW VDDQ_VDD2_1V8AO 2520mW/2485mW
04-30-2024 17:59:33 RAM 9231/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [3%@1728,4%@1728,6%@1728,1%@1728,2%@729,2%@729,10%@729,7%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.531C tboard@36C soc2@43.656C tdiode@41.375C soc0@43.468C gpu@44.75C tj@47.343C soc1@43.5C VDD_GPU_SOC 11572mW/11291mW VDD_CPU_CV 399mW/518mW VIN_SYS_5V0 7672mW/7601mW VDDQ_VDD2_1V8AO 2520mW/2489mW
04-30-2024 17:59:34 RAM 9242/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@729,0%@729,3%@1728,2%@1728,2%@729,1%@729,9%@729,8%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.375C tboard@36C soc2@43.656C tdiode@41.25C soc0@43.343C gpu@45.25C tj@47.25C soc1@43.437C VDD_GPU_SOC 11971mW/11353mW VDD_CPU_CV 399mW/507mW VIN_SYS_5V0 7773mW/7617mW VDDQ_VDD2_1V8AO 2620mW/2501mW
04-30-2024 17:59:35 RAM 9242/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,3%@1728,3%@1728,2%@1728,0%@729,0%@729,10%@729,6%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.343C tboard@36C soc2@43.687C tdiode@41.25C soc0@43.375C gpu@44.937C tj@47.343C soc1@43.375C VDD_GPU_SOC 11572mW/11371mW VDD_CPU_CV 399mW/498mW VIN_SYS_5V0 7672mW/7622mW VDDQ_VDD2_1V8AO 2520mW/2502mW
04-30-2024 17:59:36 RAM 9242/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,2%@729,0%@729,2%@729,0%@729,0%@729,10%@729,7%@729,off,off,off,off] GR3D_FREQ 69% cpu@47.406C tboard@36.125C soc2@43.718C tdiode@41.375C soc0@43.437C gpu@44.75C tj@47.281C soc1@43.406C VDD_GPU_SOC 11173mW/11356mW VDD_CPU_CV 399mW/491mW VIN_SYS_5V0 7672mW/7625mW VDDQ_VDD2_1V8AO 2520mW/2504mW
04-30-2024 17:59:37 RAM 9242/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@729,1%@729,2%@729,1%@729,0%@729,0%@729,9%@729,7%@729,off,off,off,off] GR3D_FREQ 62% cpu@47.406C tboard@36.125C soc2@43.718C tdiode@41.375C soc0@43.531C gpu@44.937C tj@47.406C soc1@43.5C VDD_GPU_SOC 11572mW/11371mW VDD_CPU_CV 399mW/484mW VIN_SYS_5V0 7672mW/7629mW VDDQ_VDD2_1V8AO 2520mW/2505mW
04-30-2024 17:59:38 RAM 9242/62841MB (lfb 5x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,11%@729,8%@729,off,off,off,off] GR3D_FREQ 59% cpu@47.5C tboard@36.125C soc2@43.781C tdiode@41.375C soc0@43.687C gpu@45.187C tj@47.375C soc1@43.718C VDD_GPU_SOC 11572mW/11385mW VDD_CPU_CV 399mW/478mW VIN_SYS_5V0 7672mW/7632mW VDDQ_VDD2_1V8AO 2520mW/2506mW
04-30-2024 17:59:39 RAM 9232/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,2%@729,3%@729,0%@729,2%@729,1%@729,11%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@47.531C tboard@36.25C soc2@43.812C tdiode@41.375C soc0@43.562C gpu@45.406C tj@47.531C soc1@43.593C VDD_GPU_SOC 11572mW/11396mW VDD_CPU_CV 399mW/473mW VIN_SYS_5V0 7773mW/7640mW VDDQ_VDD2_1V8AO 2520mW/2507mW
04-30-2024 17:59:40 RAM 9232/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@1728,0%@1728,0%@1728,0%@729,0%@729,9%@729,11%@729,off,off,off,off] GR3D_FREQ 95% cpu@47.687C tboard@36.25C soc2@43.968C tdiode@41.5C soc0@43.781C gpu@44.937C tj@47.531C soc1@43.75C VDD_GPU_SOC 11572mW/11407mW VDD_CPU_CV 399mW/469mW VIN_SYS_5V0 7672mW/7642mW VDDQ_VDD2_1V8AO 2520mW/2507mW
04-30-2024 17:59:41 RAM 9232/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@729,0%@1728,1%@1728,1%@1728,0%@729,1%@729,10%@729,10%@729,off,off,off,off] GR3D_FREQ 59% cpu@47.562C tboard@36.25C soc2@43.906C tdiode@41.625C soc0@43.687C gpu@45.031C tj@47.562C soc1@43.656C VDD_GPU_SOC 11572mW/11416mW VDD_CPU_CV 399mW/465mW VIN_SYS_5V0 7672mW/7644mW VDDQ_VDD2_1V8AO 2520mW/2508mW
04-30-2024 17:59:42 RAM 9232/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,10%@729,10%@729,off,off,off,off] GR3D_FREQ 56% cpu@47.531C tboard@36.25C soc2@43.906C tdiode@41.625C soc0@43.718C gpu@45.375C tj@47.531C soc1@43.906C VDD_GPU_SOC 11572mW/11424mW VDD_CPU_CV 399mW/461mW VIN_SYS_5V0 7672mW/7645mW VDDQ_VDD2_1V8AO 2520mW/2509mW
